customer_id,name,phone,email
4,lee,898-909-3233,lee@potatomail.ch
5,guerra,232-232-2329,as220@nope.mail
3,yang,903-323-3231,lu2yang@proton.com
9,diaz,390-903-2323,oi@hotmail.com
8,riley,323-009-1120,neilr@ubek.ch
12,smith,873-232-9090,lizsm1th@soup.be
21,jones,948-289-7575,bones@faker.com
32,chan,848-902-3232,art1@gmail.org
88,pense,747-823-9092,anand@protonmail.com
90,howerton,923-032-9023,m4yb3@mail.com
111,cho,321-456-0011,freebird@mail.com
123,kolecki,909-303-4004,andre@kmail.com
